"","Label","Type","0- Reference","4- Catch length","5- Catch age","6- Catch length age","7- Catch length age recdevs"
"33",NA,"OCNMS",106.416,NA,NA,NA,NA
"34",NA,"OCNMS_YOY",0,NA,NA,NA,NA
"35",NA,"Private_Boat",0,NA,NA,NA,NA
"36",NA,"Charter",0,NA,NA,NA,NA
"37","Length_lambda",NA,NA,NA,NA,NA,NA
"38",NA,"ALL",NA,NA,NA,NA,NA
"39",NA,"Trawl",1,1,0,1,1
"40",NA,"NonTRWL",1,1,0,1,1
"41",NA,"Recreational",1,1,0,1,1
"42",NA,"Tagging",1,NA,NA,NA,NA
"43",NA,"Nearshore_survey",1,NA,NA,NA,NA
"44",NA,"OCNMS",1,NA,NA,NA,NA
"45",NA,"OCNMS_YOY",0,NA,NA,NA,NA
"46",NA,"Private_Boat",0,NA,NA,NA,NA
"47",NA,"Charter",0,NA,NA,NA,NA
"48","Age_likelihood",NA,NA,NA,NA,NA,NA
"49",NA,"ALL",3091.6,NA,15879.9,17331.1,16527.5
"50",NA,"Trawl",264.16,NA,2435.87,2594.15,2530.69
"51",NA,"NonTRWL",957.026,NA,1825.35,1875.92,1888.7
"52",NA,"Recreational",1870.41,NA,11618.6,12861,12108.2
"53",NA,"Tagging",0,NA,NA,NA,NA
"54",NA,"Nearshore_survey",0,NA,NA,NA,NA
"55",NA,"OCNMS",0,NA,NA,NA,NA
"56",NA,"OCNMS_YOY",0,NA,NA,NA,NA
"57",NA,"Private_Boat",0,NA,NA,NA,NA
"58",NA,"Charter",0,NA,NA,NA,NA
"59","Age_lambda",NA,NA,NA,NA,NA,NA
"60",NA,"ALL",NA,NA,NA,NA,NA
"61",NA,"Trawl",1,NA,1,1,1
"62",NA,"NonTRWL",1,NA,1,1,1
"63",NA,"Recreational",1,NA,1,1,1
"64",NA,"Tagging",0,NA,NA,NA,NA
"65",NA,"Nearshore_survey",0,NA,NA,NA,NA
"66",NA,"OCNMS",0,NA,NA,NA,NA
"67",NA,"OCNMS_YOY",0,NA,NA,NA,NA
"68",NA,"Private_Boat",0,NA,NA,NA,NA
"69",NA,"Charter",0,NA,NA,NA,NA
"70","Parameters",NA,NA,NA,NA,NA,NA
"71",NA,"NatM_uniform_Fem_GP_1",0.17,0.18,0.18,0.18,0.18
"72",NA,"L_at_Amin_Fem_GP_1",0,0,0,0,0
"73",NA,"L_at_Amax_Fem_GP_1",52.7248,51.19,74.8561,56.4537,56.3032
"74",NA,"VonBert_K_Fem_GP_1",0.117704,0.1513,0.0671267,0.106176,0.107103
"75",NA,"CV_young_Fem_GP_1",0.1,0.1,0.1,0.1,0.1
"76",NA,"CV_old_Fem_GP_1",0.1,0.1,0.1,0.1,0.1
"77",NA,"Wtlen_1_Fem_GP_1",5.24556e-05,5.24556e-05,1e-05,1e-05,1e-05
"78",NA,"Wtlen_2_Fem_GP_1",2.72122,2.72122,3,3,3
"79",NA,"Mat50%_Fem_GP_1",40.36,40.36,40.36,40.36,40.36
"80",NA,"Mat_slope_Fem_GP_1",-0.380418,-0.380418,-0.380418,-0.380418,-0.380418
"81",NA,"Eggs_scalar_Fem_GP_1",1.41e-08,1.40671e-08,1e-05,1e-05,1e-05
"82",NA,"Eggs_exp_len_Fem_GP_1",4.685,4.685,3,3,3
"83",NA,"NatM_uniform_Mal_GP_1",0.152,0.2,0.2,0.2,0.2
"84",NA,"L_at_Amin_Mal_GP_1",3.66175,3.64731,3.7555,3.7555,3.7555
"85",NA,"L_at_Amax_Mal_GP_1",47.6445,47.26,50.2096,49.188,49.0716
"86",NA,"VonBert_K_Mal_GP_1",0.140318,0.1656,0.130518,0.134024,0.135309
"87",NA,"CV_young_Mal_GP_1",0.1,0.1,0.1,0.1,0.1
"88",NA,"CV_old_Mal_GP_1",0.1,0.1,0.1,0.1,0.1
"89",NA,"Wtlen_1_Mal_GP_1",2.47904e-05,2.47904e-05,1.003e-05,1.003e-05,1.003e-05
"90",NA,"Wtlen_2_Mal_GP_1",2.91062,2.91,3,3,3
"91",NA,"CohortGrowDev",1,1,1,1,1
"92",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5
"93",NA,"SR_LN(R0)",7.58738,7.75888,8.53874,8.34877,8.31004
"94",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72
"95",NA,"SR_sigmaR",0.6,0.7,0.7,0.7,0.7
"96",NA,"SR_regime",0,0,0,0,0
"97",NA,"SR_autocorr",0,0,0,0,0
"98",NA,"Main_RecrDev_1956",-0.545695,NA,NA,NA,NA
"99",NA,"Main_RecrDev_1957",-0.560537,NA,NA,NA,NA
"100",NA,"Main_RecrDev_1958",-0.556859,NA,NA,NA,NA
"101",NA,"Main_RecrDev_1959",-0.526746,NA,NA,NA,NA
"102",NA,"Main_RecrDev_1960",-0.465706,NA,NA,NA,NA
"103",NA,"Main_RecrDev_1961",-0.375272,NA,NA,NA,NA
"104",NA,"Main_RecrDev_1962",-0.274828,NA,NA,NA,NA
"105",NA,"Main_RecrDev_1963",-0.224938,NA,NA,NA,NA
"106",NA,"Main_RecrDev_1964",-0.27709,NA,NA,NA,NA
"107",NA,"Main_RecrDev_1965",-0.337552,NA,NA,NA,NA
"108",NA,"Main_RecrDev_1966",-0.312351,NA,NA,NA,NA
"109",NA,"Main_RecrDev_1967",-0.106177,NA,NA,NA,NA
"110",NA,"Main_RecrDev_1968",0.151414,NA,NA,NA,NA
"111",NA,"Main_RecrDev_1969",-0.141659,NA,NA,NA,NA
"112",NA,"Main_RecrDev_1970",-0.17055,NA,NA,NA,NA
"113",NA,"Main_RecrDev_1971",0.0169809,NA,NA,NA,NA
"114",NA,"Main_RecrDev_1972",-0.0745927,NA,NA,NA,NA
"115",NA,"Main_RecrDev_1973",0.314781,NA,NA,NA,NA
"116",NA,"Main_RecrDev_1974",0.386593,NA,NA,NA,NA
"117",NA,"Main_RecrDev_1975",-0.246225,NA,NA,NA,NA
"118",NA,"Main_RecrDev_1976",0.0323996,NA,NA,NA,0.191407
"119",NA,"Main_RecrDev_1977",-0.0788549,NA,NA,NA,0.00697445
"120",NA,"Main_RecrDev_1978",0.373089,NA,NA,NA,0.654819
"121",NA,"Main_RecrDev_1979",0.0716036,NA,NA,NA,0.406622
"122",NA,"Main_RecrDev_1980",-0.105245,NA,NA,NA,0.0951532
"123",NA,"Main_RecrDev_1981",-0.0311854,NA,NA,NA,0.344953
"124",NA,"Main_RecrDev_1982",-0.258098,NA,NA,NA,0.298858
"125",NA,"Main_RecrDev_1983",0.280357,NA,NA,NA,0.558821
"126",NA,"Main_RecrDev_1984",-0.0817203,NA,NA,NA,0.342591
"127",NA,"Main_RecrDev_1985",0.156938,NA,NA,NA,0.437836
"128",NA,"Main_RecrDev_1986",-0.16764,NA,NA,NA,0.218262
"129",NA,"Main_RecrDev_1987",0.128928,NA,NA,NA,0.368186
"130",NA,"Main_RecrDev_1988",-0.217262,NA,NA,NA,0.239605
"131",NA,"Main_RecrDev_1989",0.296615,NA,NA,NA,0.54562
"132",NA,"Main_RecrDev_1990",0.120823,NA,NA,NA,0.414144
"133",NA,"Main_RecrDev_1991",-0.0927388,NA,NA,NA,0.171583
"134",NA,"Main_RecrDev_1992",-0.199535,NA,NA,NA,-0.0281923
"135",NA,"Main_RecrDev_1993",-0.0717318,NA,NA,NA,0.0565681
"136",NA,"Main_RecrDev_1994",0.265859,NA,NA,NA,0.365118
"137",NA,"Main_RecrDev_1995",0.211872,NA,NA,NA,0.286731
"138",NA,"Main_RecrDev_1996",-0.241385,NA,NA,NA,-0.183209
"139",NA,"Main_RecrDev_1997",0.0797969,NA,NA,NA,0.195772
"140",NA,"Main_RecrDev_1998",0.0955421,NA,NA,NA,0.230405
"141",NA,"Main_RecrDev_1999",0.261295,NA,NA,NA,0.421013
"142",NA,"Main_RecrDev_2000",0.468499,NA,NA,NA,0.655762
"143",NA,"Main_RecrDev_2001",-0.326077,NA,NA,NA,-0.135622
"144",NA,"Main_RecrDev_2002",-0.478714,NA,NA,NA,-0.310586
"145",NA,"Main_RecrDev_2003",0.196475,NA,NA,NA,0.4481
"146",NA,"Main_RecrDev_2004",0.11112,NA,NA,NA,0.353174
"147",NA,"Main_RecrDev_2005",0.0327532,NA,NA,NA,0.312058
"148",NA,"Main_RecrDev_2006",0.495528,NA,NA,NA,0.804016
"149",NA,"Main_RecrDev_2007",0.50764,NA,NA,NA,0.82557
"150",NA,"Main_RecrDev_2008",0.642933,NA,NA,NA,1.01308
"151",NA,"Main_RecrDev_2009",0.395297,NA,NA,NA,0.760673
"152",NA,"Main_RecrDev_2010",0.290575,NA,NA,NA,0.659477
"153",NA,"Main_RecrDev_2011",0.82043,NA,NA,NA,1.17242
"154",NA,"Main_RecrDev_2012",0.509098,NA,NA,NA,0.816156
"155",NA,"Main_RecrDev_2013",0.449575,NA,NA,NA,0.72343
"156",NA,"Main_RecrDev_2014",0.196725,NA,NA,NA,0.388113
"157",NA,"Main_RecrDev_2015",-0.110975,NA,NA,NA,-0.00253446
"158",NA,"Main_RecrDev_2016",-0.0602801,NA,NA,NA,-0.193678
"159",NA,"Main_RecrDev_2017",-0.643318,NA,NA,NA,-1.59372
"160",NA,"Late_RecrDev_2018",0,NA,NA,NA,NA
"161",NA,"Late_RecrDev_2019",0,NA,NA,NA,NA
"162",NA,"Late_RecrDev_2020",0,NA,NA,NA,NA
"163",NA,"Late_RecrDev_2021",0,NA,NA,NA,NA
"164",NA,"Late_RecrDev_2022",0,NA,NA,NA,NA
"165",NA,"ForeRecr_2023",0,NA,NA,NA,0
"166",NA,"InitF_seas_1_flt_1Trawl",1e-20,1e-20,NA,NA,NA
"167",NA,"InitF_seas_1_flt_2NonTRWL",1e-20,1e-20,NA,NA,NA
"168",NA,"InitF_seas_1_flt_3Recreational",1e-20,1e-20,NA,NA,NA
"169",NA,"LnQ_base_Tagging(4)",-5.58591,NA,NA,NA,NA
"170",NA,"LnQ_base_Nearshore_survey(5)",-7.14493,NA,NA,NA,NA
"171",NA,"Q_extraSD_Nearshore_survey(5)",0.118346,NA,NA,NA,NA
"172",NA,"LnQ_base_OCNMS(6)",-7.41381,NA,NA,NA,NA
"173",NA,"LnQ_base_OCNMS_YOY(7)",-6.5856,NA,NA,NA,NA
"174",NA,"Q_extraSD_OCNMS_YOY(7)",1.79416,NA,NA,NA,NA
"175",NA,"LnQ_base_Private_Boat(8)",-6.24094,NA,NA,NA,NA
"176",NA,"Q_extraSD_Private_Boat(8)",0.376205,NA,NA,NA,NA
"177",NA,"LnQ_base_Charter(9)",-5.72894,NA,NA,NA,NA
"178",NA,"Q_extraSD_Charter(9)",0.139532,NA,NA,NA,NA
"179",NA,"Size_DblN_peak_Trawl(1)",50.0224,55.7982,33.3461,55.6881,56.2608
"180",NA,"Size_DblN_top_logit_Trawl(1)",0.809475,15,15,15,15
"181",NA,"Size_DblN_ascend_se_Trawl(1)",3.46194,4.1916,-0.681432,4.10929,4.16666
"182",NA,"Size_DblN_descend_se_Trawl(1)",2.2,-15,-15,-15,-15
"183",NA,"Size_DblN_start_logit_Trawl(1)",-5,-15,-15,-15,-15
"184",NA,"Size_DblN_end_logit_Trawl(1)",5,15,15,15,15
"185",NA,"Size_DblN_peak_NonTRWL(2)",48.8262,57.3417,58.0157,58.9984,58.9973
"186",NA,"Size_DblN_top_logit_NonTRWL(2)",-0.71634,15,15,15,15
"187",NA,"Size_DblN_ascend_se_NonTRWL(2)",4.30151,5.12439,-2.21134,5.05227,5.07396
"188",NA,"Size_DblN_descend_se_NonTRWL(2)",3,-15,-15,-15,-15
"189",NA,"Size_DblN_start_logit_NonTRWL(2)",-4,-15,-15,-15,-15
"190",NA,"Size_DblN_end_logit_NonTRWL(2)",5,15,15,15,15
"191",NA,"Size_DblN_peak_Recreational(3)",43.5159,44.3766,35,44.2347,43.882
"192",NA,"Size_DblN_top_logit_Recreational(3)",2.49744,15,15,15,15
"193",NA,"Size_DblN_ascend_se_Recreational(3)",3.6528,4.05062,-0.913299,3.90501,3.89597
"194",NA,"Size_DblN_descend_se_Recreational(3)",3,-15,-15,-15,-15
"195",NA,"Size_DblN_start_logit_Recreational(3)",-4,-15,-15,-15,-15
"196",NA,"Size_DblN_end_logit_Recreational(3)",5,15,15,15,15
"197",NA,"Size_DblN_peak_Tagging(4)",41.7064,NA,NA,NA,NA
"198",NA,"Size_DblN_top_logit_Tagging(4)",-3.68762,NA,NA,NA,NA
"199",NA,"Size_DblN_ascend_se_Tagging(4)",3.35216,NA,NA,NA,NA
"200",NA,"Size_DblN_descend_se_Tagging(4)",2.2,NA,NA,NA,NA
"201",NA,"Size_DblN_start_logit_Tagging(4)",-4,NA,NA,NA,NA
"202",NA,"Size_DblN_end_logit_Tagging(4)",5,NA,NA,NA,NA
"203",NA,"Size_DblN_peak_Nearshore_survey(5)",32.2155,NA,NA,NA,NA
"204",NA,"Size_DblN_top_logit_Nearshore_survey(5)",-2.58759,NA,NA,NA,NA
"205",NA,"Size_DblN_ascend_se_Nearshore_survey(5)",3.7493,NA,NA,NA,NA
"206",NA,"Size_DblN_descend_se_Nearshore_survey(5)",2.2,NA,NA,NA,NA
"207",NA,"Size_DblN_start_logit_Nearshore_survey(5)",-4,NA,NA,NA,NA
"208",NA,"Size_DblN_end_logit_Nearshore_survey(5)",5,NA,NA,NA,NA
"209",NA,"Size_DblN_peak_OCNMS(6)",26.6551,NA,NA,NA,NA
"210",NA,"Size_DblN_top_logit_OCNMS(6)",3.50569,NA,NA,NA,NA
"211",NA,"Size_DblN_ascend_se_OCNMS(6)",3.58539,NA,NA,NA,NA
"212",NA,"Size_DblN_descend_se_OCNMS(6)",-4.49974,NA,NA,NA,NA
"213",NA,"Size_DblN_start_logit_OCNMS(6)",-15,NA,NA,NA,NA
"214",NA,"Size_DblN_end_logit_OCNMS(6)",-15,NA,NA,NA,NA
"215",NA,"SizeSel_P1_Private_Boat(8)",-1,NA,NA,NA,NA
"216",NA,"SizeSel_P2_Private_Boat(8)",-1,NA,NA,NA,NA
"217",NA,"SizeSel_P1_Charter(9)",-1,NA,NA,NA,NA
"218",NA,"SizeSel_P2_Charter(9)",-1,NA,NA,NA,NA
"219",NA,"Main_RecrDev_2018",NA,NA,NA,NA,-3.03918
"220",NA,"Main_RecrDev_2019",NA,NA,NA,NA,-3.37705
"221",NA,"Main_RecrDev_2020",NA,NA,NA,NA,-2.85703
"222",NA,"Main_RecrDev_2021",NA,NA,NA,NA,-2.03962
"223",NA,"Main_RecrDev_2022",NA,NA,NA,NA,-2.02265
"224","Derived quantities",NA,NA,NA,NA,NA,NA
"225",NA,"SB0",949.374,1434.18,3673.21,2324.09,2246.93
"226",NA,"SSB_2023",439.546,756.168,2054.88,897.299,1693.14
"227",NA,"Bratio_2023",0.462985,0.527248,0.559423,0.386086,0.753533
"228",NA,"MSY_SPR",277.57,310.619,327.702,259.406,251.51
"229",NA,"F_SPR",0.0483201,0.048715,0.0508512,0.0493834,0.0496629
